ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsivity,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
538,18-24,F,University degree,UK,White,49,45,37,49,37,5,6,CL6,CL0,CL3,CL0,CL5,CL4,CL5,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL0
539,45-54,F,"Some college or university, no certificate or degree",UK,Asian,43,38,35,48,34,1,1,CL0,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
540,35-44,F,University degree,UK,White,47,38,44,47,46,4,7,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
541,45-54,M,Masters degree,UK,White,24,48,43,47,53,0,2,CL6,CL0,CL0,CL1,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
542,45-54,F,University degree,UK,White,26,42,43,37,43,1,1,CL5,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
543,45-54,F,University degree,Other,Black,38,45,44,48,45,4,6,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
544,35-44,M,Left school at 17 years,UK,White,43,45,52,35,33,4,9,CL6,CL1,CL1,CL5,CL6,CL5,CL5,CL2,CL0,CL2,CL1,CL2,CL4,CL1,CL0,CL1,CL6,CL0,CL1
545,25-34,F,University degree,UK,White,44,44,37,38,44,3,5,CL6,CL0,CL0,CL0,CL5,CL0,CL5,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
546,18-24,F,Left school at 16 years,UK,White,48,36,39,38,33,7,5,CL5,CL0,CL2,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
547,35-44,F,Professional certificate/ diploma,UK,White,51,41,41,47,36,2,5,CL5,CL0,CL0,CL2,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
548,45-54,F,"Some college or university, no certificate or degree",USA,White,27,37,52,59,42,1,2,CL2,CL2,CL0,CL2,CL6,CL2,CL6,CL2,CL2,CL0,CL0,CL0,CL0,CL1,CL2,CL0,CL6,CL0,CL0
549,25-34,F,Masters degree,UK,White,20,35,37,40,54,1,3,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
550,18-24,M,University degree,UK,White,48,37,45,44,27,5,2,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
551,25-34,F,Masters degree,Other,White,25,47,45,39,41,3,3,CL4,CL0,CL0,CL0,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
552,18-24,F,University degree,UK,White,34,37,34,48,50,1,4,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
553,35-44,F,Masters degree,UK,White,28,48,45,36,49,3,9,CL4,CL2,CL1,CL0,CL6,CL4,CL5,CL3,CL0,CL3,CL0,CL3,CL3,CL3,CL0,CL3,CL3,CL0,CL0
554,18-24,F,Masters degree,UK,White,52,28,43,48,44,3,2,CL2,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
555,25-34,F,Masters degree,Other,Mixed-White/Black,46,25,41,43,45,2,0,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
556,25-34,F,Doctorate degree,UK,White,42,43,41,43,50,5,6,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
557,45-54,F,Masters degree,UK,White,38,32,36,43,48,2,2,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
558,18-24,F,University degree,UK,White,34,38,46,42,44,1,4,CL6,CL2,CL2,CL0,CL6,CL2,CL4,CL0,CL0,CL3,CL0,CL2,CL3,CL0,CL0,CL2,CL2,CL0,CL0
559,25-34,F,University degree,UK,White,21,46,43,52,50,2,5,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
560,18-24,F,University degree,UK,White,31,39,40,49,41,7,9,CL5,CL2,CL2,CL0,CL6,CL2,CL3,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
561,45-54,F,University degree,UK,White,28,40,47,45,49,4,4,CL6,CL1,CL1,CL0,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL0
562,18-24,F,University degree,UK,White,46,41,39,45,45,2,4,CL6,CL0,CL0,CL0,CL6,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
563,35-44,F,University degree,UK,White,42,44,47,36,47,3,5,CL5,CL1,CL0,CL3,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL3,CL0,CL0
564,35-44,F,Masters degree,UK,Other,58,43,33,41,51,3,3,CL6,CL0,CL1,CL1,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL1
565,25-34,F,Masters degree,UK,White,44,42,40,23,40,4,6,CL5,CL0,CL3,CL2,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
566,45-54,F,"Some college or university, no certificate or degree",UK,White,31,37,44,44,39,8,3,CL2,CL6,CL0,CL0,CL6,CL3,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL1
567,45-54,F,Masters degree,UK,White,39,34,45,47,36,2,3,CL5,CL0,CL0,CL1,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
568,18-24,F,University degree,UK,White,45,47,37,49,46,1,2,CL5,CL2,CL2,CL2,CL5,CL4,CL6,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
569,18-24,M,University degree,UK,White,53,44,54,37,38,3,6,CL6,CL0,CL2,CL0,CL6,CL3,CL6,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL6,CL0,CL0
570,35-44,M,Masters degree,UK,White,46,34,43,41,42,3,5,CL1,CL0,CL0,CL0,CL1,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
571,35-44,F,Doctorate degree,UK,White,32,45,43,37,56,2,4,CL6,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
572,35-44,F,Professional certificate/ diploma,Australia,White,38,47,36,23,39,5,8,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
573,18-24,F,Masters degree,UK,White,21,52,43,50,53,4,8,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
574,35-44,M,Professional certificate/ diploma,UK,White,48,30,32,36,37,8,6,CL6,CL1,CL1,CL1,CL6,CL3,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1
575,55-64,F,"Some college or university, no certificate or degree",USA,White,27,46,47,39,39,5,5,CL5,CL0,CL0,CL2,CL6,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
576,35-44,F,University degree,UK,White,55,28,31,47,27,2,1,CL6,CL1,CL0,CL0,CL5,CL2,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL0
577,35-44,M,Left school at 16 years,UK,White,20,45,33,40,49,3,6,CL5,CL0,CL0,CL0,CL3,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL6,CL0,CL0
578,25-34,F,Masters degree,UK,Other,44,42,45,47,48,2,4,CL4,CL0,CL0,CL0,CL3,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
579,25-34,F,University degree,UK,White,46,45,39,51,41,2,5,CL4,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
580,45-54,F,Masters degree,UK,White,46,39,46,50,51,1,1,CL6,CL1,CL0,CL2,CL4,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
581,18-24,F,Masters degree,UK,White,34,45,48,44,47,3,5,CL5,CL0,CL2,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
582,35-44,F,"Some college or university, no certificate or degree",UK,White,25,40,36,43,26,8,5,CL6,CL1,CL1,CL1,CL6,CL2,CL6,CL2,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
583,18-24,M,"Some college or university, no certificate or degree",UK,White,27,50,47,41,37,6,8,CL6,CL0,CL4,CL0,CL6,CL5,CL6,CL0,CL0,CL5,CL0,CL4,CL2,CL0,CL0,CL2,CL6,CL0,CL0
584,35-44,F,Professional certificate/ diploma,UK,White,39,48,56,41,48,5,6,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
585,18-24,F,"Some college or university, no certificate or degree",USA,White,42,40,40,46,39,3,9,CL5,CL0,CL0,CL3,CL6,CL4,CL6,CL0,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
586,25-34,M,University degree,UK,White,33,41,42,35,47,7,7,CL2,CL0,CL2,CL0,CL3,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
587,18-24,M,Professional certificate/ diploma,UK,White,43,36,54,36,40,5,7,CL2,CL0,CL0,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
588,18-24,M,"Some college or university, no certificate or degree",UK,White,39,42,42,48,27,4,8,CL5,CL5,CL2,CL4,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL3,CL0,CL3,CL6,CL0,CL0
589,25-34,F,Left school at 16 years,UK,White,31,50,47,49,43,3,6,CL5,CL3,CL1,CL3,CL6,CL6,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
590,55-64,F,"Some college or university, no certificate or degree",USA,White,24,39,46,37,45,5,6,CL2,CL1,CL0,CL1,CL6,CL6,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL0
591,35-44,M,Left school before 16 years,UK,White,30,40,40,39,46,3,7,CL3,CL3,CL2,CL1,CL6,CL6,CL5,CL2,CL0,CL2,CL1,CL0,CL0,CL1,CL1,CL0,CL6,CL0,CL1
592,35-44,F,University degree,UK,White,40,37,42,24,52,3,3,CL6,CL0,CL0,CL1,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
593,35-44,F,Professional certificate/ diploma,USA,White,14,46,45,46,54,2,5,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL2,CL3,CL2,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL0
594,25-34,M,Professional certificate/ diploma,Other,Mixed-White/Black,35,46,44,47,46,4,8,CL5,CL0,CL3,CL0,CL6,CL5,CL5,CL3,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL2,CL6,CL0,CL0
595,35-44,M,Left school at 16 years,UK,White,32,36,40,35,37,7,8,CL5,CL2,CL3,CL4,CL6,CL5,CL5,CL2,CL0,CL3,CL0,CL2,CL3,CL2,CL0,CL3,CL0,CL0,CL0
596,45-54,M,Professional certificate/ diploma,Other,White,39,41,41,30,45,3,8,CL6,CL1,CL1,CL2,CL6,CL1,CL4,CL1,CL1,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
597,18-24,M,Left school at 16 years,UK,White,23,45,50,49,48,5,9,CL5,CL2,CL0,CL0,CL5,CL5,CL5,CL3,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
598,55-64,F,Professional certificate/ diploma,Canada,White,32,37,42,38,46,6,9,CL1,CL1,CL1,CL2,CL6,CL4,CL5,CL1,CL1,CL0,CL0,CL0,CL6,CL1,CL3,CL1,CL1,CL0,CL1
599,45-54,F,Professional certificate/ diploma,USA,White,36,41,40,46,44,3,4,CL5,CL1,CL0,CL2,CL6,CL6,CL6,CL1,CL0,CL0,CL0,CL0,CL2,CL1,CL0,CL2,CL3,CL0,CL0
600,18-24,M,"Some college or university, no certificate or degree",UK,White,41,39,46,43,34,5,7,CL4,CL0,CL2,CL0,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL3,CL6,CL0,CL0
601,45-54,F,Masters degree,UK,White,43,36,40,54,43,2,2,CL6,CL0,CL0,CL0,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
602,18-24,M,"Some college or university, no certificate or degree",USA,White,46,47,50,44,33,8,9,CL4,CL5,CL0,CL0,CL6,CL6,CL5,CL4,CL0,CL4,CL0,CL3,CL4,CL0,CL0,CL4,CL6,CL0,CL0
603,18-24,M,"Some college or university, no certificate or degree",USA,White,41,27,36,21,46,5,9,CL6,CL3,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL2
604,18-24,M,"Some college or university, no certificate or degree",USA,White,54,32,50,39,33,5,8,CL6,CL3,CL0,CL2,CL6,CL6,CL3,CL0,CL0,CL2,CL0,CL0,CL6,CL3,CL3,CL4,CL6,CL0,CL0
605,25-34,M,University degree,USA,White,29,34,41,28,43,2,5,CL5,CL0,CL0,CL2,CL6,CL5,CL5,CL2,CL0,CL2,CL0,CL2,CL2,CL3,CL0,CL3,CL5,CL0,CL2
606,35-44,F,"Some college or university, no certificate or degree",USA,White,40,42,46,49,45,2,4,CL5,CL0,CL0,CL5,CL6,CL5,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL1,CL5,CL0,CL0
607,55-64,F,Masters degree,USA,White,15,47,57,51,33,2,4,CL5,CL3,CL1,CL2,CL6,CL6,CL6,CL1,CL2,CL0,CL1,CL0,CL0,CL1,CL0,CL1,CL0,CL0,CL0
608,18-24,M,University degree,UK,White,31,40,36,52,36,3,9,CL5,CL0,CL0,CL0,CL6,CL4,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
609,45-54,M,"Some college or university, no certificate or degree",USA,White,35,40,52,55,41,2,6,CL2,CL1,CL0,CL0,CL6,CL3,CL3,CL1,CL1,CL0,CL1,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
610,25-34,M,University degree,UK,White,21,48,54,44,49,5,10,CL6,CL6,CL4,CL4,CL6,CL6,CL6,CL6,CL2,CL4,CL2,CL3,CL4,CL2,CL0,CL3,CL1,CL0,CL5
611,55-64,F,Professional certificate/ diploma,Canada,White,48,34,34,50,29,8,5,CL4,CL1,CL0,CL1,CL5,CL5,CL4,CL3,CL3,CL0,CL0,CL0,CL0,CL1,CL0,CL4,CL1,CL0,CL1
612,25-34,M,"Some college or university, no certificate or degree",UK,White,27,46,52,44,37,4,10,CL6,CL1,CL2,CL0,CL6,CL6,CL6,CL2,CL0,CL3,CL0,CL0,CL3,CL1,CL0,CL0,CL6,CL0,CL0
613,25-34,M,University degree,UK,White,29,42,40,51,46,5,9,CL5,CL0,CL0,CL0,CL6,CL5,CL5,CL0,CL2,CL0,CL0,CL0,CL3,CL0,CL0,CL2,CL6,CL0,CL2
614,35-44,M,University degree,UK,White,25,41,43,41,39,3,4,CL1,CL1,CL1,CL1,CL6,CL6,CL6,CL1,CL0,CL4,CL0,CL1,CL5,CL1,CL0,CL2,CL1,CL0,CL0
615,25-34,F,Masters degree,UK,White,54,38,42,24,37,4,6,CL6,CL3,CL2,CL5,CL5,CL6,CL6,CL3,CL0,CL2,CL0,CL0,CL6,CL0,CL0,CL2,CL6,CL0,CL1
616,25-34,F,Left school before 16 years,USA,White,33,44,39,37,44,7,5,CL3,CL2,CL0,CL3,CL6,CL3,CL4,CL3,CL3,CL3,CL3,CL0,CL0,CL3,CL3,CL2,CL6,CL0,CL2
617,35-44,F,Masters degree,UK,White,37,39,41,48,40,6,9,CL6,CL0,CL0,CL1,CL6,CL2,CL2,CL0,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1
618,45-54,F,"Some college or university, no certificate or degree",USA,White,46,41,43,39,33,7,9,CL2,CL6,CL1,CL6,CL6,CL6,CL6,CL2,CL1,CL0,CL0,CL0,CL2,CL1,CL2,CL4,CL4,CL0,CL0
619,45-54,M,Professional certificate/ diploma,Republic of Ireland,White,27,48,42,39,47,2,6,CL3,CL2,CL2,CL3,CL6,CL6,CL5,CL0,CL0,CL0,CL1,CL0,CL5,CL2,CL0,CL2,CL6,CL0,CL1
620,25-34,F,University degree,UK,White,35,47,52,44,42,5,6,CL5,CL0,CL2,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
621,55-64,M,Masters degree,UK,White,29,32,50,37,46,1,3,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
622,18-24,M,Left school at 18 years,UK,White,41,29,41,52,27,7,7,CL5,CL0,CL0,CL0,CL6,CL5,CL6,CL0,CL0,CL4,CL0,CL4,CL2,CL0,CL0,CL0,CL6,CL0,CL2
623,35-44,M,Masters degree,UK,White,27,44,43,30,44,6,7,CL5,CL0,CL1,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
624,35-44,F,Masters degree,UK,White,34,43,42,45,52,2,1,CL5,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
625,45-54,F,Masters degree,UK,White,32,40,41,41,30,8,4,CL6,CL0,CL1,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1,CL2,CL0,CL1
626,35-44,F,Doctorate degree,UK,White,36,40,35,43,44,1,5,CL6,CL0,CL0,CL1,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
627,35-44,F,Professional certificate/ diploma,UK,White,32,36,40,37,44,2,1,CL6,CL1,CL0,CL0,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL2,CL2,CL0,CL0
628,35-44,M,University degree,UK,White,35,37,38,40,45,3,5,CL6,CL1,CL2,CL0,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
629,35-44,M,Doctorate degree,UK,White,21,32,33,54,46,0,3,CL5,CL1,CL1,CL2,CL5,CL5,CL6,CL3,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL2,CL5,CL0,CL0
630,25-34,F,Doctorate degree,UK,White,48,31,35,53,44,1,1,CL5,CL0,CL0,CL0,CL6,CL3,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
631,45-54,F,Doctorate degree,UK,Mixed-White/Black,31,43,48,45,41,3,0,CL5,CL0,CL0,CL1,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
632,35-44,F,Doctorate degree,UK,White,41,38,56,45,49,1,0,CL6,CL1,CL0,CL0,CL6,CL2,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL5,CL0,CL0
633,18-24,F,University degree,UK,White,40,39,42,56,49,1,4,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
634,18-24,F,University degree,UK,White,48,37,35,37,47,1,0,CL5,CL0,CL2,CL0,CL4,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
635,25-34,F,Masters degree,UK,White,29,51,47,44,44,2,6,CL5,CL0,CL2,CL2,CL6,CL3,CL5,CL3,CL0,CL2,CL0,CL2,CL3,CL0,CL0,CL2,CL5,CL0,CL0
636,35-44,F,Doctorate degree,UK,White,48,41,44,36,37,3,9,CL6,CL3,CL3,CL6,CL6,CL5,CL5,CL5,CL0,CL5,CL1,CL3,CL3,CL2,CL1,CL2,CL6,CL0,CL1
637,35-44,M,University degree,UK,White,28,38,43,50,38,2,6,CL5,CL2,CL2,CL2,CL6,CL3,CL6,CL2,CL0,CL2,CL0,CL2,CL0,CL1,CL0,CL2,CL1,CL0,CL0
638,45-54,F,University degree,UK,White,29,42,41,46,42,4,5,CL4,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
639,35-44,F,Professional certificate/ diploma,Canada,White,32,41,37,48,45,1,2,CL4,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
640,18-24,F,University degree,UK,White,33,36,34,42,52,2,6,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
641,25-34,M,Left school at 16 years,UK,White,33,51,52,51,45,5,10,CL5,CL1,CL2,CL3,CL6,CL6,CL6,CL4,CL0,CL3,CL0,CL2,CL2,CL2,CL0,CL2,CL6,CL0,CL0
642,45-54,M,University degree,UK,White,34,35,47,44,41,3,4,CL5,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
643,35-44,M,Masters degree,UK,White,29,46,52,56,53,3,7,CL5,CL1,CL1,CL0,CL4,CL1,CL6,CL0,CL0,CL1,CL0,CL0,CL4,CL0,CL0,CL1,CL1,CL0,CL1
644,25-34,F,Masters degree,UK,Black,26,44,42,51,50,2,7,CL5,CL0,CL0,CL0,CL4,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
645,25-34,M,"Some college or university, no certificate or degree",UK,White,38,38,32,47,37,3,6,CL5,CL3,CL3,CL0,CL5,CL4,CL6,CL5,CL0,CL3,CL0,CL3,CL0,CL0,CL0,CL0,CL3,CL0,CL0
646,45-54,M,University degree,UK,White,36,38,42,38,39,7,4,CL5,CL0,CL0,CL0,CL4,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
647,18-24,F,University degree,UK,White,31,39,42,42,47,3,4,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
648,18-24,M,"Some college or university, no certificate or degree",USA,White,23,49,53,24,48,2,7,CL6,CL0,CL0,CL3,CL6,CL5,CL6,CL4,CL0,CL4,CL0,CL0,CL4,CL0,CL3,CL3,CL6,CL0,CL2
649,35-44,F,Masters degree,USA,White,47,41,53,55,33,7,10,CL6,CL2,CL1,CL3,CL4,CL6,CL5,CL3,CL4,CL1,CL3,CL0,CL2,CL1,CL0,CL1,CL6,CL0,CL0
650,25-34,F,University degree,UK,White,34,45,35,43,54,4,2,CL5,CL2,CL1,CL0,CL2,CL2,CL5,CL2,CL0,CL2,CL0,CL1,CL0,CL1,CL0,CL0,CL2,CL0,CL0
651,45-54,F,Masters degree,UK,White,31,53,59,53,43,7,7,CL5,CL2,CL2,CL4,CL6,CL5,CL6,CL4,CL1,CL5,CL0,CL3,CL4,CL2,CL1,CL2,CL6,CL0,CL0
652,25-34,M,Masters degree,UK,White,42,43,47,47,33,4,2,CL5,CL0,CL2,CL0,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
653,18-24,M,"Some college or university, no certificate or degree",Australia,White,46,48,54,39,33,4,7,CL5,CL5,CL3,CL4,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL4,CL5,CL5,CL3,CL4,CL6,CL0,CL3
654,18-24,M,"Some college or university, no certificate or degree",USA,White,29,44,44,44,42,7,7,CL6,CL0,CL0,CL0,CL4,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL3,CL2,CL0,CL0
655,35-44,F,Left school at 16 years,UK,White,32,46,39,46,49,2,3,CL5,CL0,CL1,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL3,CL0,CL2,CL0,CL0
656,25-34,M,Masters degree,Other,Other,31,51,41,42,33,5,8,CL5,CL0,CL0,CL2,CL6,CL4,CL5,CL0,CL3,CL3,CL0,CL3,CL3,CL3,CL0,CL3,CL6,CL0,CL0
657,45-54,M,"Some college or university, no certificate or degree",Canada,White,48,36,46,35,32,7,7,CL4,CL0,CL0,CL0,CL6,CL6,CL5,CL2,CL3,CL0,CL0,CL0,CL3,CL2,CL0,CL5,CL6,CL0,CL0
658,45-54,M,Professional certificate/ diploma,UK,White,47,29,55,40,30,8,10,CL5,CL1,CL1,CL1,CL6,CL4,CL6,CL1,CL0,CL2,CL1,CL1,CL1,CL1,CL1,CL1,CL6,CL0,CL0
659,18-24,M,Masters degree,UK,White,42,41,47,41,38,6,6,CL5,CL0,CL0,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
660,25-34,M,Doctorate degree,Republic of Ireland,White,28,49,57,37,39,7,7,CL5,CL3,CL2,CL0,CL6,CL6,CL5,CL5,CL2,CL4,CL0,CL2,CL0,CL2,CL2,CL2,CL6,CL0,CL1
661,25-34,F,Masters degree,UK,Black,24,43,44,50,43,1,1,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
